dzien symulacji,liczba kobiet,liczba mezczyzn,urodzone kobiety,urodzeni mezczyzni,zmarle kobiety,zmarli mezczyzni
1,516887.82,483097.86,10.12,10.2,10.3,8.34
2,516887.21,483099.47,9.91,10.34,10.52,8.73
3,516887.47,483101.09,10.6,10.31,10.34,8.69
4,516887.63,483102.38,10.48,9.96,10.32,8.67
5,516887.04,483103.7,9.95,9.54,10.54,8.22
6,516886.81,483105.38,10.36,10.08,10.59,8.4
7,516886.83,483106.49,10.01,10.01,9.99,8.9
8,516886.07,483107.34,9.87,9.79,10.63,8.94
9,516885.85,483109.53,10.44,10.62,10.66,8.43
10,516885.69,483111.02,10.26,9.83,10.42,8.34
11,516884.55,483112.72,9.59,10.24,10.73,8.54
12,516884.28,483114.33,10.32,10.03,10.59,8.42
13,516884.0,483115.54,10.27,9.71,10.55,8.5
14,516883.63,483117.1,10.01,10.19,10.38,8.63
15,516882.69,483118.72,9.57,10.66,10.51,9.04
16,516882.44,483120.61,10.15,10.21,10.4,8.32
17,516882.1,483122.03,9.91,10.09,10.25,8.67
18,516881.17,483123.66,10.19,10.35,11.12,8.72
19,516880.92,483125.16,10.17,9.96,10.42,8.46
20,516879.77,483126.38,9.53,10.44,10.68,9.22
21,516879.22,483128.09,10.28,10.07,10.83,8.36
22,516879.46,483129.54,10.79,10.02,10.55,8.57
23,516878.93,483131.34,9.92,10.33,10.45,8.53
24,516878.55,483132.98,10.05,9.9,10.43,8.26
25,516877.38,483135.26,10.03,10.68,11.2,8.4
26,516876.61,483137.26,10.03,10.08,10.8,8.08
27,516876.66,483139.1,10.26,10.03,10.21,8.19
28,516875.8,483140.26,9.64,10.15,10.5,8.99
29,516875.03,483142.72,9.97,11.02,10.74,8.56
30,516874.59,483144.16,10.43,10.01,10.87,8.57
31,516874.38,483145.96,10.39,9.83,10.6,8.03
32,516874.19,483147.6,10.2,10.09,10.39,8.45
33,516873.9,483149.08,10.1,10.26,10.39,8.78
34,516873.04,483150.81,10.15,9.99,11.01,8.26
35,516872.41,483151.82,10.14,9.85,10.77,8.84
36,516872.3,483153.2,9.84,9.75,9.95,8.37
37,516872.99,483154.94,10.61,10.61,9.92,8.87
38,516872.12,483156.38,10.05,10.08,10.92,8.64
39,516871.08,483157.78,9.82,10.0,10.86,8.6
40,516870.04,483158.84,9.94,9.99,10.98,8.93
41,516869.47,483160.25,10.24,10.32,10.81,8.91
42,516869.22,483162.31,10.01,10.53,10.26,8.47
43,516869.0,483163.71,10.39,9.7,10.61,8.3
44,516869.29,483164.85,10.29,9.75,10.0,8.61
45,516868.11,483166.54,9.58,10.16,10.76,8.47
46,516867.46,483168.72,10.06,10.55,10.71,8.37
47,516866.25,483170.5,9.73,10.7,10.94,8.92
48,516865.41,483171.94,9.62,10.05,10.46,8.61
49,516864.96,483173.86,10.02,10.5,10.47,8.58
50,516864.7,483175.12,10.48,9.84,10.74,8.58
51,516864.84,483176.49,10.48,9.68,10.34,8.31
52,516864.25,483177.96,10.56,10.43,11.15,8.96
53,516863.32,483179.75,9.88,10.45,10.81,8.66
54,516862.75,483181.09,10.38,9.92,10.95,8.58
55,516862.24,483182.74,9.96,10.29,10.47,8.64
56,516861.82,483184.53,9.76,10.31,10.18,8.52
57,516861.82,483185.9,10.42,10.23,10.42,8.86
58,516861.9,483187.94,10.51,10.35,10.43,8.31
59,516862.38,483189.04,10.48,10.09,10.0,8.99
60,516861.79,483190.52,10.08,10.05,10.67,8.57
61,516860.9,483192.0,10.08,10.37,10.97,8.89
62,516860.63,483194.27,9.6,10.62,9.87,8.35
63,516859.34,483195.68,9.66,10.06,10.95,8.65
64,516858.43,483197.25,9.63,10.13,10.54,8.56
65,516858.62,483198.58,10.45,10.27,10.26,8.94
66,516858.31,483200.51,10.22,10.53,10.53,8.6
67,516858.12,483202.13,10.07,10.29,10.26,8.67
68,516858.05,483202.98,10.72,9.78,10.79,8.93
69,516856.82,483204.23,9.63,10.39,10.86,9.14
70,516856.37,483205.07,9.98,9.89,10.43,9.05
71,516856.14,483206.25,10.16,9.91,10.39,8.73
72,516855.34,483207.04,9.9,9.97,10.7,9.18
73,516854.95,483208.22,10.38,10.04,10.77,8.86
74,516854.38,483210.37,10.16,10.29,10.73,8.14
75,516853.26,483211.87,9.75,10.07,10.87,8.57
76,516852.06,483213.74,9.68,10.06,10.88,8.19
77,516851.18,483215.19,9.75,9.93,10.63,8.48
78,516850.92,483216.99,10.32,10.19,10.58,8.39
79,516850.66,483218.35,10.37,10.01,10.63,8.65
80,516849.74,483219.57,9.58,9.94,10.5,8.72
81,516848.71,483220.67,10.0,10.14,11.03,9.04
82,516847.99,483221.34,10.15,9.79,10.87,9.12
83,516847.08,483222.37,9.34,10.32,10.25,9.29
84,516847.17,483223.93,10.42,10.14,10.33,8.58
85,516845.78,483225.22,9.46,10.07,10.85,8.78
86,516845.95,483226.81,10.44,10.26,10.27,8.67
87,516845.48,483228.03,10.04,10.08,10.51,8.86
88,516844.66,483229.46,9.55,10.45,10.37,9.02
89,516843.94,483231.24,10.16,10.05,10.88,8.27
90,516843.62,483232.32,9.87,10.07,10.19,8.99
91,516842.97,483233.7,10.17,10.13,10.82,8.75
92,516842.59,483235.6,10.3,10.06,10.68,8.16
93,516842.52,483237.01,10.77,10.34,10.84,8.93
94,516842.08,483237.99,9.73,10.03,10.17,9.05
95,516841.63,483239.23,10.17,10.11,10.62,8.87
96,516840.34,483239.95,9.87,9.92,11.16,9.2
97,516840.42,483241.72,10.65,10.39,10.57,8.62
98,516839.81,483243.13,10.13,10.01,10.74,8.6
99,516838.56,483243.68,9.82,9.95,11.07,9.4
100,516838.38,483245.72,10.26,10.42,10.44,8.38
101,516837.71,483246.71,9.97,9.58,10.64,8.59
102,516837.57,483248.6,10.1,10.28,10.24,8.39
103,516836.37,483251.24,9.93,10.93,11.13,8.29
104,516836.28,483253.31,10.49,10.26,10.58,8.19
105,516836.17,483254.8,10.43,10.11,10.54,8.62
106,516836.12,483255.71,10.48,9.77,10.53,8.86
107,516835.81,483257.25,10.61,10.07,10.92,8.53
108,516834.92,483258.34,9.71,9.84,10.6,8.75
109,516834.17,483259.19,10.04,9.66,10.79,8.81
110,516833.72,483260.5,9.77,10.04,10.22,8.73
111,516833.02,483261.37,10.26,9.86,10.96,8.99
112,516831.5,483262.53,9.68,10.02,11.2,8.86
113,516830.35,483263.72,9.65,10.1,10.8,8.91
114,516829.41,483265.13,9.6,10.38,10.54,8.97
115,516828.55,483266.89,10.21,10.31,11.07,8.55
116,516828.52,483268.74,10.43,10.18,10.46,8.33
117,516827.96,483269.92,10.05,9.53,10.61,8.35
118,516827.07,483271.21,9.84,10.4,10.73,9.11
119,516825.95,483272.3,9.72,9.85,10.84,8.76
120,516824.4,483273.7,9.21,10.05,10.76,8.65
121,516824.04,483274.96,10.14,10.0,10.5,8.74
122,516823.84,483275.73,10.28,9.75,10.48,8.98
123,516823.27,483277.3,9.93,10.31,10.5,8.74
124,516822.27,483278.3,9.8,9.91,10.8,8.91
125,516822.69,483279.77,10.54,9.87,10.12,8.4
126,516821.9,483280.43,9.7,9.91,10.49,9.25
127,516821.05,483281.61,9.91,10.01,10.76,8.83
128,516820.04,483282.77,9.87,10.14,10.88,8.98
129,516819.07,483284.28,10.09,10.15,11.06,8.64
130,516818.18,483285.5,9.96,10.17,10.85,8.95
131,516817.64,483286.88,9.87,10.3,10.41,8.92
132,516817.11,483288.16,10.05,9.95,10.58,8.67
133,516816.94,483289.25,10.13,10.44,10.3,9.35
134,516816.26,483290.44,9.78,10.03,10.46,8.84
135,516815.91,483291.25,10.47,9.5,10.82,8.69
136,516815.09,483291.46,10.1,9.54,10.92,9.33
137,516814.26,483292.03,9.95,9.6,10.78,9.03
138,516813.34,483292.83,10.11,9.76,11.03,8.96
139,516812.47,483294.25,10.16,9.91,11.03,8.49
140,516811.53,483294.98,10.06,9.64,11.0,8.91
141,516810.72,483296.54,9.77,10.46,10.58,8.9
142,516809.49,483297.82,9.43,10.13,10.66,8.85
143,516809.1,483299.29,10.35,10.39,10.74,8.92
144,516808.84,483299.75,10.27,9.53,10.53,9.07
145,516808.01,483301.52,10.01,10.32,10.84,8.55
146,516807.18,483302.34,10.41,9.82,11.24,9.0
147,516805.69,483303.75,10.1,10.02,11.59,8.61
148,516804.78,483305.21,10.18,10.36,11.09,8.9
149,516804.3,483305.83,10.18,9.62,10.66,9.0
150,516804.58,483307.02,10.6,9.91,10.32,8.72
151,516803.16,483307.8,9.6,9.79,11.02,9.01
152,516803.06,483309.12,10.55,10.03,10.65,8.71
153,516801.59,483310.3,9.49,10.15,10.96,8.97
154,516800.75,483311.31,10.06,9.67,10.9,8.66
155,516799.5,483312.87,9.89,10.64,11.14,9.08
156,516798.33,483313.32,9.82,9.69,10.99,9.24
157,516797.37,483314.98,9.9,10.09,10.86,8.43
158,516797.57,483316.35,10.96,10.25,10.76,8.88
159,516796.74,483317.71,10.03,9.8,10.86,8.44
160,516795.11,483318.96,9.51,10.46,11.14,9.21
161,516795.0,483320.27,10.45,10.34,10.56,9.03
162,516794.64,483322.2,10.43,10.17,10.79,8.24
163,516794.68,483323.45,10.12,9.99,10.08,8.74
164,516793.79,483325.02,10.24,10.03,11.13,8.46
165,516793.79,483326.43,10.53,10.21,10.53,8.8
166,516792.86,483327.54,10.35,9.72,11.28,8.61
167,516792.67,483329.12,10.44,9.91,10.63,8.33
168,516792.03,483331.04,9.67,10.43,10.31,8.51
169,516791.12,483332.45,10.28,10.24,11.19,8.83
170,516790.1,483333.85,9.57,10.35,10.59,8.95
171,516789.86,483334.42,10.47,9.5,10.71,8.93
172,516789.85,483336.08,10.31,10.35,10.32,8.69
173,516788.38,483337.12,9.67,9.82,11.14,8.78
174,516787.74,483337.53,10.01,9.56,10.65,9.15
175,516786.82,483339.01,9.83,9.82,10.75,8.34
176,516785.32,483340.43,9.39,10.21,10.89,8.79
177,516784.21,483341.66,9.97,10.08,11.08,8.85
178,516783.29,483342.78,9.75,9.81,10.67,8.69
179,516782.55,483344.08,10.17,10.22,10.91,8.92
180,516781.25,483344.91,9.71,10.36,11.01,9.53
