dzien symulacji,liczba kobiet przed choroba,liczba mezczyzn przed choroba,urodzone kobiety,urodzeni mezczyzni,zmarle kobiety,zmarli mezczyzni,liczba chorych kobiet,liczba chorych mezczyzn,liczba kobiet po chorobie,liczba mezczyzn po chorobie,liczba ponownie chorych kobiet,liczba ponownie chorych mezczyzn,kobiety zmarle z powodu choroby,mezczyzni zmarli z powodu choroby
1,516886.57,483097.74,9.6,10.39,11.03,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,516886.4,483098.95,10.43,9.87,10.6,8.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,516885.98,483101.39,9.98,10.54,10.4,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,516885.59,483103.03,10.45,10.22,10.84,8.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,516885.09,483104.6,9.59,10.5,10.09,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,516885.17,483106.15,10.07,10.03,9.99,8.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,516884.61,483107.99,9.87,10.43,10.43,8.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,516884.07,483109.07,10.22,9.63,10.76,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,516884.1,483110.13,10.33,9.71,10.3,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,516882.97,483112.08,9.9,10.34,11.03,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,516882.12,483114.01,10.09,10.65,10.94,8.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,516881.89,483115.03,10.2,9.87,10.43,8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,516881.4,483117.38,10.15,10.76,10.64,8.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,516881.38,483118.92,10.5,10.07,10.52,8.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,516880.47,483120.6,9.78,10.07,10.69,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
