dzien symulacji,liczba kobiet przed choroba,liczba mezczyzn przed choroba,urodzone kobiety,urodzeni mezczyzni,zmarle kobiety,zmarli mezczyzni,liczba chorych kobiet,liczba chorych mezczyzn,liczba kobiet po chorobie,liczba mezczyzn po chorobie,liczba ponownie chorych kobiet,liczba ponownie chorych mezczyzn,kobiety zmarle z powodu choroby,mezczyzni zmarli z powodu choroby,liczba zaszczepionych kobiet,liczba zaszczepionych mezczyzn
1,516888.05,483097.07,10.37,9.88,10.32,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,516886.74,483098.37,9.7,9.69,11.01,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,516885.9,483099.85,10.17,10.02,11.01,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,516885.16,483101.89,10.22,10.19,10.96,8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,516884.66,483103.86,10.12,10.51,10.62,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,516883.97,483105.35,9.79,9.67,10.48,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,516883.99,483106.11,10.82,9.79,10.8,9.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,516882.81,483107.17,10.15,9.65,11.33,8.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,516882.58,483108.26,10.01,10.27,10.24,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,516881.8,483109.76,9.91,10.23,10.69,8.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,516881.07,483111.94,10.12,10.33,10.85,8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,516879.98,483113.32,9.46,10.14,10.55,8.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,516879.35,483114.9,10.94,10.45,11.57,8.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,516879.24,483116.89,10.16,10.35,10.27,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,516878.36,483118.46,9.94,10.37,10.82,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,516877.53,483119.75,9.94,10.57,10.77,9.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,516877.26,483121.26,10.07,10.12,10.34,8.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,516876.86,483122.96,9.99,10.26,10.39,8.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,516877.17,483124.59,10.39,10.17,10.08,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,516876.3,483125.5,9.52,9.61,10.39,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,516875.53,483127.75,9.91,10.2,10.68,7.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,516874.44,483129.22,10.13,10.0,11.22,8.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,516874.54,483131.03,10.08,10.34,9.98,8.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,516873.73,483133.25,10.1,10.58,10.91,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,516873.25,483134.39,10.28,9.87,10.76,8.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,516873.14,483135.78,9.94,9.77,10.05,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,516872.72,483137.15,10.54,10.33,10.96,8.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,516871.72,483138.5,9.56,10.12,10.56,8.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,516871.31,483140.54,10.35,10.14,10.76,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,516871.32,483142.35,10.06,10.26,10.05,8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
